Date,Open,High,Low,Close
2020-11-03,756.79,767.28,756.29,766.00
2020-11-04,766.71,772.75,759.88,765.09
2020-11-05,774.29,801.95,772.36,799.58
2020-11-06,800.01,805.38,790.93,798.05
2020-11-09,814.64,826.86,811.64,819.07
2020-11-10,861.56,879.64,846.56,875.64
2020-11-11,885.25,888.28,867.01,878.09
2020-11-12,873.24,873.75,860.82,868.27
2020-11-13,862.37,880.98,859.95,875.40
2020-11-16,886.17,889.98,878.00,878.24
2020-11-17,882.56,889.17,872.64,876.66
2020-11-18,872.85,888.51,868.84,888.51
2020-11-19,886.73,895.15,885.50,889.70
2020-11-20,888.78,905.30,886.94,904.47
2020-11-23,910.11,929.43,908.38,927.63
2020-11-24,934.92,937.36,912.03,912.85
2020-11-25,924.77,933.87,904.71,924.42
2020-11-26,928.48,934.17,923.73,933.60
2020-11-27,930.56,938.34,927.77,933.14
2020-11-30,924.36,929.03,908.39,908.61
2020-12-01,915.65,926.91,915.07,919.58
2020-12-02,914.80,926.81,913.81,917.49
2020-12-03,922.17,933.02,918.67,931.10
2020-12-04,931.47,944.35,931.00,940.17
2020-12-08,937.80,960.32,932.41,955.75
2020-12-09,962.47,968.93,951.88,958.49
2020-12-14,962.45,965.84,945.14,947.82
2020-12-15,941.09,950.06,934.63,949.28
2020-12-16,955.90,956.95,944.69,950.90
2020-12-17,954.01,959.85,948.47,948.99
2020-12-18,949.32,953.60,940.86,947.28
2020-12-21,912.02,926.20,891.88,892.00
2020-12-22,893.89,910.49,881.64,906.00
2020-12-23,903.99,916.35,893.87,893.90
2020-12-24,896.75,913.11,890.63,910.01
2020-12-25,915.07,920.89,911.17,918.35
2020-12-28,925.42,925.75,905.13,905.64
2020-12-29,910.61,924.16,907.95,924.00
2020-12-30,927.67,929.05,907.73,910.45
2021-01-04,896.70,924.36,893.62,924.36
2021-01-05,923.20,953.99,921.51,953.99
2021-01-06,951.94,957.42,935.88,940.41
2021-01-07,952.69,959.29,946.05,955.39
2021-01-08,965.70,977.59,964.91,977.59
2021-01-11,978.89,988.32,968.69,974.91
2021-01-12,973.75,978.64,967.01,975.51
2021-01-13,981.68,992.03,976.81,980.75
2021-01-14,978.11,984.91,969.64,971.35
2021-01-15,971.49,977.38,954.30,957.86
2021-01-18,951.27,954.98,943.94,949.64
2021-01-19,956.20,964.13,955.68,958.16
2021-01-20,958.86,962.86,949.18,952.86
2021-01-21,960.09,962.79,948.47,951.58
2021-01-22,947.04,954.35,936.03,939.73
2021-01-25,939.47,944.67,933.29,942.00
2021-01-26,937.58,952.25,932.19,951.02
2021-01-27,948.39,951.58,936.76,936.76
2021-01-28,925.61,932.62,916.46,916.91
2021-01-29,923.79,925.38,908.82,916.66
2021-02-01,914.83,926.75,908.04,922.89
2021-02-02,933.33,937.20,924.15,928.07
2021-02-03,937.39,938.54,923.94,923.94
2021-02-04,927.13,931.10,919.96,923.52
2021-02-05,929.03,934.84,927.29,933.55
2021-02-08,942.44,949.10,940.46,948.24
2021-02-09,954.11,958.20,948.22,949.46
2021-02-10,955.13,957.03,946.65,950.28
